text,entities
"I have persistent headache and nausea","headache:Symptom:16:24;nausea:Symptom:29:35"
"Patient presents with fever and chills","fever:Symptom:22:27;chills:Symptom:32:38"
"Experiencing severe chest pain and shortness of breath","chest pain:Symptom:20:30;shortness of breath:Symptom:35:54"
"I feel dizzy and have blurred vision","dizzy:Symptom:7:12;blurred vision:Symptom:22:36"
"Suffering from fatigue and muscle weakness","fatigue:Symptom:15:22;muscle weakness:Symptom:27:42"
"I have a runny nose and sore throat","runny nose:Symptom:9:19;sore throat:Symptom:24:35"
"Patient reports joint pain and swelling","joint pain:Symptom:16:26;swelling:Symptom:31:39"
"Experiencing abdominal pain and bloating","abdominal pain:Symptom:13:27;bloating:Symptom:32:40"
"I have been having insomnia and anxiety","insomnia:Symptom:18:26;anxiety:Symptom:31:38"
"Suffering from back pain and numbness in legs","back pain:Symptom:15:24;numbness:Symptom:29:37"
"Patient has dry cough and wheezing","dry cough:Symptom:12:21;wheezing:Symptom:26:34"
"I feel nauseous and have vomiting","nauseous:Symptom:7:15;vomiting:Symptom:25:33"
"Experiencing heart palpitations and sweating","heart palpitations:Symptom:13:31;sweating:Symptom:36:44"
"I have a skin rash and itching","skin rash:Symptom:9:18;itching:Symptom:23:30"
"Suffering from constipation and stomach cramps","constipation:Symptom:15:27;stomach cramps:Symptom:32:46"
"Patient reports memory loss and confusion","memory loss:Symptom:16:27;confusion:Symptom:32:41"
"I have ear pain and hearing loss","ear pain:Symptom:7:15;hearing loss:Symptom:20:32"
"Experiencing tremors and difficulty walking","tremors:Symptom:13:20;difficulty walking:Symptom:25:43"
"I feel exhausted and have no appetite","exhausted:Symptom:7:16;no appetite:Symptom:26:37"
"Suffering from migraines and light sensitivity","migraines:Symptom:15:24;light sensitivity:Symptom:29:46"
"Patient has difficulty breathing and chest tightness","difficulty breathing:Symptom:12:32;chest tightness:Symptom:37:52"
"I have frequent urination and thirst","frequent urination:Symptom:7:25;thirst:Symptom:30:36"
"Experiencing mood swings and irritability","mood swings:Symptom:13:24;irritability:Symptom:29:41"
"I feel weak and have muscle cramps","weak:Symptom:7:11;muscle cramps:Symptom:21:34"
"Suffering from indigestion and heartburn","indigestion:Symptom:15:26;heartburn:Symptom:31:40"
"Patient reports dizziness and fainting spells","dizziness:Symptom:16:25;fainting spells:Symptom:30:44"
"I have cold hands and feet and tingling","cold hands:Symptom:7:17;tingling:Symptom:31:39"
"Experiencing weight loss and loss of appetite","weight loss:Symptom:13:24;loss of appetite:Symptom:29:44"
"I feel tired all the time and have brain fog","tired:Symptom:7:12;brain fog:Symptom:35:44"
"Suffering from sneezing and nasal congestion","sneezing:Symptom:15:23;nasal congestion:Symptom:28:44"
"Patient has red eyes and eye discharge","red eyes:Symptom:12:20;eye discharge:Symptom:25:38"
"I have night sweats and hot flashes","night sweats:Symptom:7:19;hot flashes:Symptom:24:35"
"Experiencing hair loss and brittle nails","hair loss:Symptom:13:22;brittle nails:Symptom:27:40"
"I feel depressed and have low energy","depressed:Symptom:7:16;low energy:Symptom:26:36"
"Suffering from leg cramps and restlessness","leg cramps:Symptom:15:25;restlessness:Symptom:30:41"
"Patient reports blurry vision and eye strain","blurry vision:Symptom:16:29;eye strain:Symptom:34:44"
"I have jaw pain and difficulty chewing","jaw pain:Symptom:7:15;difficulty chewing:Symptom:20:38"
"Experiencing rapid heartbeat and breathlessness","rapid heartbeat:Symptom:13:28;breathlessness:Symptom:33:47"
"I feel anxious and have panic attacks","anxious:Symptom:7:14;panic attacks:Symptom:24:37"
"Suffering from bloating and gas","bloating:Symptom:15:23;gas:Symptom:28:31"
"Patient has swollen lymph nodes and fever","swollen lymph nodes:Symptom:12:31;fever:Symptom:36:41"
"I have hoarseness and difficulty swallowing","hoarseness:Symptom:7:17;difficulty swallowing:Symptom:22:42"
"Experiencing vertigo and loss of balance","vertigo:Symptom:13:20;loss of balance:Symptom:25:40"
"I feel shaky and have trembling hands","shaky:Symptom:7:12;trembling hands:Symptom:22:37"
"Suffering from dry mouth and excessive thirst","dry mouth:Symptom:15:24;excessive thirst:Symptom:29:45"
"Patient reports burning sensation and redness","burning sensation:Symptom:16:33;redness:Symptom:38:45"
"I have stiff neck and shoulder pain","stiff neck:Symptom:7:17;shoulder pain:Symptom:22:34"
"Experiencing sleep apnea and snoring","sleep apnea:Symptom:13:24;snoring:Symptom:29:36"
"I feel feverish and have body aches","feverish:Symptom:7:15;body aches:Symptom:25:35"
"Suffering from hives and skin irritation","hives:Symptom:15:20;skin irritation:Symptom:25:40"
"Patient has bloody stool and abdominal cramping","bloody stool:Symptom:12:24;abdominal cramping:Symptom:29:47"
"I have sensitivity to light and sound","sensitivity to light:Symptom:7:27;sound:Symptom:32:37"
"Experiencing loss of taste and smell","loss of taste:Symptom:13:26;smell:Symptom:31:36"
"I feel lightheaded and have fainting episodes","lightheaded:Symptom:7:18;fainting episodes:Symptom:28:44"
"Suffering from chronic pain and inflammation","chronic pain:Symptom:15:27;inflammation:Symptom:32:44"
"Patient reports tingling sensation and numbness","tingling sensation:Symptom:16:34;numbness:Symptom:39:47"
"I have watery eyes and nasal drip","watery eyes:Symptom:7:18;nasal drip:Symptom:23:33"
"Experiencing chest discomfort and arm pain","chest discomfort:Symptom:13:29;arm pain:Symptom:34:42"
"I feel nauseated and have stomach upset","nauseated:Symptom:7:16;stomach upset:Symptom:26:39"
"Suffering from joint stiffness and limited mobility","joint stiffness:Symptom:15:30;limited mobility:Symptom:35:51"
"Patient has excessive sweating and odor","excessive sweating:Symptom:12:30;odor:Symptom:35:39"
"I have frequent headaches and neck tension","frequent headaches:Symptom:7:25;neck tension:Symptom:30:42"
"Experiencing muscle twitching and spasms","muscle twitching:Symptom:13:29;spasms:Symptom:34:40"
"I feel cold and have shivering","cold:Symptom:7:11;shivering:Symptom:21:30"
"Suffering from acid reflux and regurgitation","acid reflux:Symptom:15:26;regurgitation:Symptom:31:44"
"Patient reports facial swelling and puffiness","facial swelling:Symptom:16:31;puffiness:Symptom:36:45"
"I have painful urination and blood in urine","painful urination:Symptom:7:24;blood in urine:Symptom:29:43"
"Experiencing double vision and eye fatigue","double vision:Symptom:13:26;eye fatigue:Symptom:31:42"
"I feel disoriented and have memory problems","disoriented:Symptom:7:18;memory problems:Symptom:28:43"
"Suffering from persistent cough and phlegm","persistent cough:Symptom:15:31;phlegm:Symptom:36:42"
"Patient has skin discoloration and bruising","skin discoloration:Symptom:12:30;bruising:Symptom:35:43"
"I have ringing in ears and headache","ringing in ears:Symptom:7:22;headache:Symptom:27:35"
"Experiencing sudden weight gain and water retention","sudden weight gain:Symptom:13:31;water retention:Symptom:36:51"
"I feel jittery and have racing thoughts","jittery:Symptom:7:14;racing thoughts:Symptom:24:38"
"Suffering from mouth sores and gum bleeding","mouth sores:Symptom:15:26;gum bleeding:Symptom:31:43"
"Patient reports excessive hunger and cravings","excessive hunger:Symptom:16:32;cravings:Symptom:37:45"
"I have difficulty concentrating and mental fog","difficulty concentrating:Symptom:7:31;mental fog:Symptom:36:46"
"Experiencing lower back pain and sciatica","lower back pain:Symptom:13:28;sciatica:Symptom:33:41"
"I feel overwhelmed and have stress symptoms","overwhelmed:Symptom:7:18;stress symptoms:Symptom:28:43"
"Suffering from irregular heartbeat and fluttering","irregular heartbeat:Symptom:15:34;fluttering:Symptom:39:49"
"Patient has foot pain and heel discomfort","foot pain:Symptom:12:21;heel discomfort:Symptom:26:41"
"I have chronic fatigue and daytime sleepiness","chronic fatigue:Symptom:7:22;daytime sleepiness:Symptom:27:45"
"Experiencing hand tremors and coordination problems","hand tremors:Symptom:13:25;coordination problems:Symptom:30:51"
"I feel restless and have trouble sleeping","restless:Symptom:7:15;trouble sleeping:Symptom:25:40"
"Suffering from seasonal allergies and congestion","seasonal allergies:Symptom:15:33;congestion:Symptom:38:48"
"Patient reports difficulty breathing at night","difficulty breathing:Symptom:16:36"
"I have swelling in ankles and feet","swelling:Symptom:7:15;ankles:Symptom:19:25;feet:Symptom:30:34"
"Experiencing sharp stabbing pain and tenderness","sharp stabbing pain:Symptom:13:32;tenderness:Symptom:37:47"
"I feel faint and have low blood pressure symptoms","faint:Symptom:7:12;low blood pressure symptoms:Symptom:22:49"
"Suffering from teeth grinding and jaw clenching","teeth grinding:Symptom:15:29;jaw clenching:Symptom:34:46"
"Patient has loss of coordination and unsteady gait","loss of coordination:Symptom:12:32;unsteady gait:Symptom:37:50"
"I have shooting pain down my leg and hip discomfort","shooting pain:Symptom:7:20;hip discomfort:Symptom:37:51"
"Experiencing frequent infections and slow healing","frequent infections:Symptom:13:32;slow healing:Symptom:37:49"
"I feel heavy and sluggish all day","heavy:Symptom:7:12;sluggish:Symptom:17:25"
"Suffering from eye twitching and facial spasms","eye twitching:Symptom:15:28;facial spasms:Symptom:33:46"
"Patient reports unusual bruising and bleeding","unusual bruising:Symptom:16:32;bleeding:Symptom:37:45"
"I have pins and needles and burning feet","pins and needles:Symptom:7:23;burning feet:Symptom:28:40"
"Experiencing stomach pain after eating and nausea","stomach pain:Symptom:13:25;nausea:Symptom:44:50"
"I feel my heart racing and have chest pressure","heart racing:Symptom:10:22;chest pressure:Symptom:32:46"
"Suffering from extreme thirst and frequent urination","extreme thirst:Symptom:15:29;frequent urination:Symptom:34:52"
